         294610 function calls (285110 primitive calls) in 32.581 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      161    0.000    0.000    0.000    0.000 sre_compile.py:388(_simple)
      616    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
      118    0.000    0.000    0.000    0.000 accessor.py:83(_create_delegator_property)
     1748    0.000    0.000    0.000    0.000 typing.py:1096(__hash__)
     1167    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      612    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
      933    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      273    0.000    0.000    0.000    0.000 function_base.py:428(_needs_add_docstring)
      578    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      364    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      427    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.004    0.004 tokenize.py:21(<module>)
        1    0.000    0.000    0.005    0.005 frame.py:319(DataFrame)
      370    0.000    0.000    0.001    0.000 typing.py:342(_type_vars)
      565    0.000    0.000    0.000    0.000 sre_parse.py:159(__len__)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
      446    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      443    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(find_spec)
  687/656    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      364    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
        2    0.000    0.000    0.005    0.003 function_base.py:1(<module>)
      465    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      227    0.000    0.000    0.012    0.000 typing.py:133(__new__)
      316    0.000    0.000    0.000    0.000 overrides.py:124(array_function_dispatch)
      273    0.000    0.000    0.001    0.000 function_base.py:446(_add_docstring)
      236    0.000    0.000    0.000    0.000 typing.py:168(__new__)
       25    0.000    0.000    0.145    0.006 __init__.py:1(<module>)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
      111    0.000    0.000    0.000    0.000 sre_parse.py:342(_escape)
      443    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      770    0.000    0.000    0.000    0.000 typing.py:971(<genexpr>)
      256    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      297    0.000    0.000    0.006    0.000 re.py:184(sub)
      404    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      170    0.000    0.000    0.000    0.000 typing.py:206(__new__)
        1    0.000    0.000    0.174    0.174 __init__.py:106(<module>)
        1    0.000    0.000    0.004    0.004 numerictypes.py:81(<module>)
      432    0.000    0.000    0.000    0.000 _decorators.py:323(__init__)
       56    0.000    0.000    0.000    0.000 enum.py:70(__setitem__)
   308/63    0.000    0.000    0.001    0.000 typing.py:1145(__subclasscheck__)
       59    0.000    0.000    0.013    0.000 sre_compile.py:542(_code)
       61    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
        1    0.000    0.000    0.007    0.007 fromnumeric.py:3(<module>)
       34    0.000    0.000    0.002    0.000 __init__.py:737(_arith_method_FRAME)
     1051    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.002    0.002 strings.py:2028(StringMethods)
      531    0.000    0.000    0.001    0.000 typing.py:800(<genexpr>)
        6    0.000    0.000    0.000    0.000 numeric.py:2388(extend_all)
      143    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.049    0.049 __init__.py:13(<module>)
      842    0.000    0.000    0.000    0.000 multiarray.py:1043(copyto)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:10(<module>)
        1    0.000    0.000    0.005    0.005 defchararray.py:17(<module>)
      461    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:707(find_spec)
       40    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
       15    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
      126    0.000    0.000    0.000    0.000 expr.py:168(<genexpr>)
       82    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      265    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.008    0.008 typing.py:1(<module>)
      210    0.000    0.000    0.000    0.000 DT.py:247(<listcomp>)
      332    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
      631    0.000    0.000    0.000    0.000 fromnumeric.py:1108(_argmax_dispatcher)
        1    0.000    0.000    0.024    0.024 multiarray.py:7(<module>)
       59    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        3    0.000    0.000    0.000    0.000 enum.py:625(<listcomp>)
       63    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:919(create_module)
      471    0.000    0.000    0.000    0.000 typing.py:974(<genexpr>)
        1    0.000    0.000    0.003    0.003 series.py:122(Series)
       96    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      195    0.000    0.000    0.000    0.000 typing.py:866(_make_subclasshook)
      242    0.000    0.000    0.001    0.000 re.py:169(match)
      283    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
    63/39    0.000    0.000    0.038    0.001 <frozen importlib._bootstrap_external>:927(exec_module)
       52    0.000    0.000    0.000    0.000 core.py:900(__init__)
      840    0.000    0.000    0.000    0.000 numeric.py:86(_zeros_like_dispatcher)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.002    0.002 expr.py:2(<module>)
        1    0.000    0.000    0.007    0.007 linalg.py:10(<module>)
      832    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
