,uid,speed,me_to_junc,me_to_inf,x1_vs_me,inf_rel_speed,x1_rel_speed,acc_label
9788,"(8, 89, '9')",0.1,0.9017200248965254,2.415738149006069,0.21447591713682812,0.0,0.0,-2
9789,"(8, 89, '10')",0.1,2.4504789698725795,4.819166997541495,0.6169630575785283,0.0,0.0,0
9790,"(8, 90, '0')",0.1,2.7405105565231813,1.0069946442291302,0.3900315866506019,0.0,0.0,0
9791,"(8, 90, '1')",0.1,0.9767918384819569,2.8158932139692148,-0.8515506273768998,0.0,0.0,0
9792,"(8, 90, '2')",0.1,1.8283424658588567,2.201145195269078,0.8515506273768998,0.0,0.0,0
9793,"(8, 90, '3')",0.1,1.2276333792061793,0.9004992914059124,-3.6231644549774336,0.0,0.0,0
9794,"(8, 90, '4')",0.1,1.733515912294051,2.641675130145375,-0.6169630575785283,0.0,0.0,0
9795,"(8, 90, '5')",0.1,0.5679623912299214,6.333889619022562,-3.535236552492076,0.0,0.0,0
9796,"(8, 90, '6')",0.1,0.32713408780026687,0.7590635194917731,-4.523663746383346,0.0,0.0,0
9797,"(8, 90, '7')",0.1,1.4490059579146637,0.8617618501549663,0.6222859330181383,0.0,0.024999999999999994,0
9798,"(8, 90, '8')",0.1,0.5872441077596973,5.280827779138084,-0.23947591713682814,0.0,0.024999999999999994,0
9799,"(8, 90, '9')",0.07500000000000001,0.8267200248965254,2.4407381490060693,0.23947591713682814,-0.024999999999999994,-0.024999999999999994,-2
9800,"(8, 90, '10')",0.1,2.3504789698725794,4.794166997541495,0.6169630575785283,0.024999999999999994,0.0,0
9801,"(8, 91, '0')",0.1,2.6405105565231812,1.0069946442291304,0.39003158665060145,0.0,0.0,0
9802,"(8, 91, '1')",0.1,0.8767918384819569,2.8158932139692143,-0.8515506273769,0.0,0.0,0
9803,"(8, 91, '2')",0.1,1.7283424658588569,2.201145195269078,0.8515506273769,0.0,0.0,0
9804,"(8, 91, '3')",0.1,1.1276333792061792,0.9004992914059123,-3.623164454977434,0.0,0.0,0
9805,"(8, 91, '4')",0.1,1.633515912294051,2.6416751301453747,-0.6169630575785288,0.0,0.0,0
9806,"(8, 91, '5')",0.1,0.46796239122992134,6.333889619022563,-3.5352365524920755,0.0,0.0,0
9807,"(8, 91, '6')",0.1,0.2271340878002669,0.7590635194917732,-4.523663746383346,0.0,0.0,0
9808,"(8, 91, '7')",0.1,1.3490059579146636,0.8617618501549664,0.5722859330181382,0.0,0.049999999999999996,0
9809,"(8, 91, '8')",0.1,0.4872441077596972,5.280827779138084,-0.2894759171368282,0.0,0.049999999999999996,0
9810,"(8, 91, '9')",0.05000000000000001,0.7767200248965254,2.490738149006069,0.2894759171368282,-0.049999999999999996,-0.049999999999999996,-1
9811,"(8, 91, '10')",0.1,2.25047896987258,4.744166997541495,0.6169630575785288,0.049999999999999996,0.0,0
9812,"(8, 92, '0')",0.1,2.5405105565231816,1.0069946442291304,0.3900315866506019,0.0,0.0,0
